result,stdev,iterations,regulation,learnrate
1.24605,0.2,20,0.200000,0.0016
1.23966,0.2,20,0.200000,0.0021
1.24428,0.2,20,0.200000,0.0026
1.252,0.2,20,0.200000,0.0031
1.25991,0.2,20,0.200000,0.0036
1.25851,0.2,20,0.200000,0.0041
1.26747,0.2,20,0.200000,0.0046
1.26501,0.2,20,0.200000,0.0051
1.27255,0.2,20,0.200000,0.0056
1.28085,0.2,20,0.200000,0.0061
1.28651,0.2,20,0.200000,0.0066
1.29085,0.2,20,0.200000,0.0071
1.29778,0.2,20,0.200000,0.0076
1.29956,0.2,20,0.200000,0.0081
1.31031,0.2,20,0.200000,0.0086
1.31353,0.2,20,0.200000,0.0091
1.31011,0.2,20,0.200000,0.0096
1.6872,0.2,20,0.400000,0.0001
1.31217,0.2,20,0.400000,0.0006
1.29359,0.2,20,0.400000,0.0011
1.29691,0.2,20,0.400000,0.0016
1.30992,0.2,20,0.400000,0.0021
1.3105,0.2,20,0.400000,0.0026
1.31765,0.2,20,0.400000,0.0031
1.32224,0.2,20,0.400000,0.0036
1.32608,0.2,20,0.400000,0.0041
1.33068,0.2,20,0.400000,0.0046
1.33823,0.2,20,0.400000,0.0051
1.34137,0.2,20,0.400000,0.0056
1.34547,0.2,20,0.400000,0.0061
1.35043,0.2,20,0.400000,0.0066
1.35571,0.2,20,0.400000,0.0071
1.36008,0.2,20,0.400000,0.0076
1.36636,0.2,20,0.400000,0.0081
1.36937,0.2,20,0.400000,0.0086
1.37435,0.2,20,0.400000,0.0091
1.37927,0.2,20,0.400000,0.0096
1.86262,0.2,20,0.600000,0.0001
1.33847,0.2,20,0.600000,0.0006
1.33437,0.2,20,0.600000,0.0011
1.34399,0.2,20,0.600000,0.0016
1.35156,0.2,20,0.600000,0.0021
1.3591,0.2,20,0.600000,0.0026
1.36661,0.2,20,0.600000,0.0031
1.37255,0.2,20,0.600000,0.0036
1.37793,0.2,20,0.600000,0.0041
1.38254,0.2,20,0.600000,0.0046
1.38776,0.2,20,0.600000,0.0051
1.39201,0.2,20,0.600000,0.0056
1.39712,0.2,20,0.600000,0.0061
1.40145,0.2,20,0.600000,0.0066
1.40565,0.2,20,0.600000,0.0071
1.41041,0.2,20,0.600000,0.0076
1.41414,0.2,20,0.600000,0.0081
1.41864,0.2,20,0.600000,0.0086
1.42244,0.2,20,0.600000,0.0091
1.42632,0.2,20,0.600000,0.0096
2.0133,0.2,20,0.800000,0.0001
1.37513,0.2,20,0.800000,0.0006
1.37613,0.2,20,0.800000,0.0011
1.38253,0.2,20,0.800000,0.0016
1.39119,0.2,20,0.800000,0.0021
1.39827,0.2,20,0.800000,0.0026
1.40452,0.2,20,0.800000,0.0031
1.40977,0.2,20,0.800000,0.0036
1.4147,0.2,20,0.800000,0.0041
1.41915,0.2,20,0.800000,0.0046
1.42338,0.2,20,0.800000,0.0051
1.42749,0.2,20,0.800000,0.0056
1.4315,0.2,20,0.800000,0.0061
1.43535,0.2,20,0.800000,0.0066
1.43915,0.2,20,0.800000,0.0071
1.44292,0.2,20,0.800000,0.0076
1.44664,0.2,20,0.800000,0.0081
1.45035,0.2,20,0.800000,0.0086
1.45401,0.2,20,0.800000,0.0091
1.45765,0.2,20,0.800000,0.0096
2.03495,0.2,20,1.000000,0.0001
1.4188,0.2,20,1.000000,0.0006
1.41608,0.2,20,1.000000,0.0011
1.42484,0.2,20,1.000000,0.0016
1.43275,0.2,20,1.000000,0.0021
1.43933,0.2,20,1.000000,0.0026
1.44489,0.2,20,1.000000,0.0031
1.44964,0.2,20,1.000000,0.0036
1.45397,0.2,20,1.000000,0.0041
1.45789,0.2,20,1.000000,0.0046
1.46163,0.2,20,1.000000,0.0051
1.4653,0.2,20,1.000000,0.0056
1.46884,0.2,20,1.000000,0.0061
1.47235,0.2,20,1.000000,0.0066
1.4758,0.2,20,1.000000,0.0071
1.47923,0.2,20,1.000000,0.0076
1.48261,0.2,20,1.000000,0.0081
1.48592,0.2,20,1.000000,0.0086
1.4892,0.2,20,1.000000,0.0091
1.49244,0.2,20,1.000000,0.0096
1.38815,0.4,20,0.000000,0.0001
1.29109,0.4,20,0.000000,0.0006
1.26644,0.4,20,0.000000,0.0011
1.25123,0.4,20,0.000000,0.0016
1.24757,0.4,20,0.000000,0.0021
1.25752,0.4,20,0.000000,0.0026
1.25661,0.4,20,0.000000,0.0031
1.25654,0.4,20,0.000000,0.0036
1.24127,0.4,20,0.000000,0.0041
1.24579,0.4,20,0.000000,0.0046
1.26524,0.4,20,0.000000,0.0051
1.28332,0.4,20,0.000000,0.0056
1.28,0.4,20,0.000000,0.0061
1.2762,0.4,20,0.000000,0.0066
1.26535,0.4,20,0.000000,0.0071
1.27788,0.4,20,0.000000,0.0076
1.27519,0.4,20,0.000000,0.0081
1.29631,0.4,20,0.000000,0.0086
1.2964,0.4,20,0.000000,0.0091
1.29382,0.4,20,0.000000,0.0096
1.5495,0.4,20,0.200000,0.0001
1.31103,0.4,20,0.200000,0.0006
1.25651,0.4,20,0.200000,0.0011
1.24468,0.4,20,0.200000,0.0016
1.25415,0.4,20,0.200000,0.0021
1.25195,0.4,20,0.200000,0.0026
1.25056,0.4,20,0.200000,0.0031
1.2559,0.4,20,0.200000,0.0036
1.26186,0.4,20,0.200000,0.0041
1.26833,0.4,20,0.200000,0.0046
1.27486,0.4,20,0.200000,0.0051
