result,stdev,iterations,regulation,learnrate
1.26652,0,120,0.800000,0
1.26652,0,120,1.000000,0
1.31102,0.2,120,0.000000,0
1.27887,0.2,120,0.200000,0
1.28327,0.2,120,0.400000,0
1.27887,0.2,120,0.600000,0
1.27164,0.2,120,0.800000,0
1.26593,0.2,120,1.000000,0
1.30907,0.4,120,0.000000,0
1.2903,0.4,120,0.200000,0
1.27218,0.4,120,0.400000,0
1.26539,0.4,120,0.600000,0
1.2617,0.4,120,0.800000,0
1.25856,0.4,120,1.000000,0
1.30707,0.6,120,0.000000,0
1.28446,0.6,120,0.200000,0
1.26816,0.6,120,0.400000,0
1.26777,0.6,120,0.600000,0
1.26491,0.6,120,0.800000,0
1.26143,0.6,120,1.000000,0
1.28323,0.8,120,0.000000,0
1.26121,0.8,120,0.200000,0
1.26074,0.8,120,0.400000,0
1.25627,0.8,120,0.600000,0
1.2626,0.8,120,0.800000,0
1.25183,0.8,120,1.000000,0
1.27668,1,120,0.000000,0
1.26647,1,120,0.200000,0
1.26158,1,120,0.400000,0
1.25195,1,120,0.600000,0
1.24869,1,120,0.800000,0
1.24536,1,120,1.000000,0
1.26658,0,140,0.000000,0
1.26656,0,140,0.200000,0
1.26654,0,140,0.400000,0
1.26653,0,140,0.600000,0
1.26652,0,140,0.800000,0
1.26652,0,140,1.000000,0
1.31909,0.2,140,0.000000,0
1.29223,0.2,140,0.200000,0
1.28433,0.2,140,0.400000,0
1.2753,0.2,140,0.600000,0
1.26939,0.2,140,0.800000,0
1.26154,0.2,140,1.000000,0
1.30872,0.4,140,0.000000,0
1.2797,0.4,140,0.200000,0
1.28088,0.4,140,0.400000,0
1.2783,0.4,140,0.600000,0
1.26269,0.4,140,0.800000,0
1.25969,0.4,140,1.000000,0
1.30133,0.6,140,0.000000,0
1.28401,0.6,140,0.200000,0
1.26829,0.6,140,0.400000,0
1.26437,0.6,140,0.600000,0
1.26503,0.6,140,0.800000,0
1.26072,0.6,140,1.000000,0
1.29333,0.8,140,0.000000,0
1.27563,0.8,140,0.200000,0
1.25635,0.8,140,0.400000,0
1.25504,0.8,140,0.600000,0
1.25126,0.8,140,0.800000,0
1.24396,0.8,140,1.000000,0
1.274,1,140,0.000000,0
1.26302,1,140,0.200000,0
1.25042,1,140,0.400000,0
1.25527,1,140,0.600000,0
1.24451,1,140,0.800000,0
1.24482,1,140,1.000000,0
1.26658,0,160,0.000000,0
1.26656,0,160,0.200000,0
1.26654,0,160,0.400000,0
1.26653,0,160,0.600000,0
1.26652,0,160,0.800000,0
1.26652,0,160,1.000000,0
1.31124,0.2,160,0.000000,0
1.29156,0.2,160,0.200000,0
1.27296,0.2,160,0.400000,0
1.27108,0.2,160,0.600000,0
1.2661,0.2,160,0.800000,0
1.25415,0.2,160,1.000000,0
1.31873,0.4,160,0.000000,0
1.28847,0.4,160,0.200000,0
1.27729,0.4,160,0.400000,0
1.27541,0.4,160,0.600000,0
1.26307,0.4,160,0.800000,0
1.26912,0.4,160,1.000000,0
1.30262,0.6,160,0.000000,0
1.27826,0.6,160,0.200000,0
1.28054,0.6,160,0.400000,0
1.27048,0.6,160,0.600000,0
1.26852,0.6,160,0.800000,0
1.25674,0.6,160,1.000000,0
1.29374,0.8,160,0.000000,0
1.27403,0.8,160,0.200000,0
1.27085,0.8,160,0.400000,0
1.25809,0.8,160,0.600000,0
1.26182,0.8,160,0.800000,0
1.25547,0.8,160,1.000000,0
1.28005,1,160,0.000000,0
1.2599,1,160,0.200000,0
1.25006,1,160,0.400000,0
1.25201,1,160,0.600000,0
1.23579,1,160,0.800000,0
1.22805,1,160,1.000000,0
1.26658,0,180,0.000000,0
1.26656,0,180,0.200000,0
1.26654,0,180,0.400000,0
1.26653,0,180,0.600000,0
1.26652,0,180,0.800000,0
1.26652,0,180,1.000000,0
1.30899,0.2,180,0.000000,0
1.28449,0.2,180,0.200000,0
1.28461,0.2,180,0.400000,0
1.27456,0.2,180,0.600000,0
1.27205,0.2,180,0.800000,0
1.26238,0.2,180,1.000000,0
1.3166,0.4,180,0.000000,0
1.28299,0.4,180,0.200000,0
1.27156,0.4,180,0.400000,0
1.26811,0.4,180,0.600000,0
1.26636,0.4,180,0.800000,0
1.26389,0.4,180,1.000000,0
1.3004,0.6,180,0.000000,0
1.28434,0.6,180,0.200000,0
1.27925,0.6,180,0.400000,0
1.27011,0.6,180,0.600000,0
1.26054,0.6,180,0.800000,0
1.26773,0.6,180,1.000000,0
1.28751,0.8,180,0.000000,0
1.26975,0.8,180,0.200000,0
1.26899,0.8,180,0.400000,0
1.26187,0.8,180,0.600000,0
1.26026,0.8,180,0.800000,0
1.25966,0.8,180,1.000000,0
1.28083,1,180,0.000000,0
1.27351,1,180,0.200000,0
1.25734,1,180,0.400000,0
1.25908,1,180,0.600000,0
1.2543,1,180,0.800000,0
1.24922,1,180,1.000000,0
1.26658,0,200,0.000000,0
1.26656,0,200,0.200000,0
1.26654,0,200,0.400000,0
1.26653,0,200,0.600000,0
1.26652,0,200,0.800000,0
1.26652,0,200,1.000000,0
1.32562,0.2,200,0.000000,0
1.28769,0.2,200,0.200000,0
1.28052,0.2,200,0.400000,0
1.27679,0.2,200,0.600000,0
1.26848,0.2,200,0.800000,0
1.26333,0.2,200,1.000000,0
1.31175,0.4,200,0.000000,0
1.29411,0.4,200,0.200000,0
1.28397,0.4,200,0.400000,0
1.27568,0.4,200,0.600000,0
1.26593,0.4,200,0.800000,0
1.2619,0.4,200,1.000000,0
1.30162,0.6,200,0.000000,0
1.28401,0.6,200,0.200000,0
1.28381,0.6,200,0.400000,0
1.26938,0.6,200,0.600000,0
1.26879,0.6,200,0.800000,0
1.25848,0.6,200,1.000000,0
1.29563,0.8,200,0.000000,0
1.27192,0.8,200,0.200000,0
1.26896,0.8,200,0.400000,0
