result|stdev|iterations|regulation|learnrate
1.35493|0|200|0.200000|0.0011
1.92992|0|20|1.000000|0.0076
1.92847|0|20|1.000000|0.0081
1.26315|0|340|0.000000|0.0066
1.92728|0|20|1.000000|0.0086
1.92631|0|20|1.000000|0.0091
1.27038|0|280|0.000000|0.0086
1.3588|0|200|0.200000|0.0016
1.92554|0|20|1.000000|0.0096
1.34053|0.2|20|0.000000|0.0001
1.25276|0.2|20|0.000000|0.0006
1.36047|0|200|0.200000|0.0021
1.26448|0|340|0.000000|0.0071
1.23343|0.2|20|0.000000|0.0011
1.27196|0|280|0.000000|0.0091
1.22453|0.2|20|0.000000|0.0016
1.22914|0.2|20|0.000000|0.0021
1.23502|0.2|20|0.000000|0.0026
1.36177|0|200|0.200000|0.0026
1.2364|0.2|20|0.000000|0.0031
1.23538|0.2|20|0.000000|0.0036
1.24282|0.2|20|0.000000|0.0041
1.24968|0.2|20|0.000000|0.0046
1.27353|0|280|0.000000|0.0096
1.26584|0|340|0.000000|0.0076
1.25501|0.2|20|0.000000|0.0051
1.36317|0|200|0.200000|0.0031
1.25582|0.2|20|0.000000|0.0056
1.26377|0.2|20|0.000000|0.0061
1.27602|0.2|20|0.000000|0.0066
1.27149|0.2|20|0.000000|0.0071
1.28076|0.2|20|0.000000|0.0076
1.36466|0|200|0.200000|0.0036
1.28013|0.2|20|0.000000|0.0081
1.28431|0.2|20|0.000000|0.0086
1.2672|0|340|0.000000|0.0081
1.29145|0.2|20|0.000000|0.0091
1.31948|0.2|20|0.000000|0.0096
1.36616|0|200|0.200000|0.0041
1.52432|0.2|20|0.200000|0.0001
1.27209|0.2|20|0.200000|0.0006
1.23286|0.2|20|0.200000|0.0011
1.3457|0|280|0.200000|0.0001
1.26855|0|340|0.000000|0.0086
1.23463|0.2|20|0.200000|0.0016
1.36756|0|200|0.200000|0.0046
1.24016|0.2|20|0.200000|0.0021
1.2434|0.2|20|0.200000|0.0026
1.25716|0.2|20|0.200000|0.0031
1.25675|0.2|20|0.200000|0.0036
1.26426|0.2|20|0.200000|0.0041
1.36886|0|200|0.200000|0.0051
1.34497|0|280|0.200000|0.0006
1.26258|0.2|20|0.200000|0.0046
1.27702|0.2|20|0.200000|0.0051
1.26992|0|340|0.000000|0.0091
